,Taxi zone,NTA_Code,TotalPop,Female,Hispanic,WhiteNonHisp,BlackNonHisp,AsianPI,OtherRace
0,260,QN63,45804.0,48.8,36.0,22.3,1.3,38.2,2.0
1,259,BX62,44266.0,53.0,18.0,16.3,60.1,3.4,2.1
2,258,QN53,61278.0,50.9,53.1,15.2,4.8,23.9,3.0
3,257,BK40,22033.0,52.9,14.3,66.2,5.4,10.9,3.3
4,256,BK73,50995.0,50.1,35.6,53.2,2.4,5.9,2.9
5,255,BK73,50995.0,50.1,35.6,53.2,2.4,5.9,2.9
6,254,BX44,61934.0,54.7,24.8,2.5,68.8,1.3,2.6
7,252,QN49,31948.0,51.1,16.2,64.1,0.5,17.0,2.2
8,251,SI07,24357.0,51.3,15.6,71.7,2.6,7.6,2.5
9,250,BX59,27952.0,52.6,62.2,4.8,15.7,14.0,3.3
10,249,MN23,67521.0,50.3,5.9,80.6,2.0,8.5,3.1
11,248,BX08,36844.0,50.8,66.2,2.3,24.6,4.4,2.5
12,247,BX63,37852.0,52.5,69.1,1.2,24.4,3.0,2.1
13,246,MN13,76034.0,49.0,14.0,63.1,6.1,13.1,3.6
14,245,SI35,18313.0,47.7,25.0,55.6,11.7,5.8,1.8
15,244,MN36,89251.0,50.1,72.0,11.9,11.1,3.0,2.1
16,243,MN35,73704.0,49.8,65.7,25.3,4.9,2.6,1.5
17,242,BX37,30617.0,50.8,55.6,24.0,10.1,8.5,1.8
18,241,BX28,49787.0,52.5,65.2,9.7,19.6,3.5,2.0
19,239,MN12,136740.0,54.8,16.2,65.7,8.1,7.3,2.7
20,238,MN12,136740.0,54.8,16.2,65.7,8.1,7.3,2.7
21,237,MN40,58760.0,55.9,5.4,85.5,1.1,5.7,2.3
22,236,MN40,58760.0,55.9,5.4,85.5,1.1,5.7,2.3
23,235,BX36,52773.0,54.6,65.4,1.3,30.0,1.7,1.7
24,234,MN13,76034.0,49.0,14.0,63.1,6.1,13.1,3.6
25,231,MN24,42082.0,50.1,6.3,65.9,2.2,21.0,4.7
26,230,MN17,28305.0,52.0,7.7,63.9,4.0,21.6,2.9
27,228,BK32,56422.0,46.9,64.1,17.2,3.3,13.8,1.4
28,227,BK34,72622.0,49.3,33.6,11.8,1.4,51.6,1.6
29,226,QN31,63936.0,50.5,33.1,37.6,2.1,25.0,2.2
30,225,BK35,66124.0,54.6,19.5,5.8,70.9,2.3,1.4
31,223,QN72,47980.0,51.5,22.5,62.9,1.6,10.5,2.6
32,221,SI37,26596.0,49.8,30.4,37.9,19.3,10.0,2.5
33,220,BX29,31434.0,52.1,37.4,46.6,8.6,5.0,2.4
34,219,QN03,21160.0,54.7,6.4,1.7,86.9,2.3,2.6
35,218,QN02,27396.0,59.3,12.2,1.2,84.3,1.3,0.8
36,217,BK72,32094.0,49.0,11.0,85.4,3.1,0.1,0.5
37,216,QN55,83286.0,51.5,20.8,5.9,22.9,24.0,26.5
38,215,QN01,44116.0,52.2,24.9,0.5,61.7,6.1,6.8
39,214,SI36,25007.0,52.9,13.3,71.4,4.3,9.1,1.9
40,212,BX55,36966.0,51.3,62.2,2.1,24.0,7.1,4.6
41,211,MN24,42082.0,50.1,6.3,65.9,2.2,21.0,4.7
42,210,BK17,63459.0,53.6,7.1,69.7,6.8,15.4,1.0
43,206,SI22,32841.0,50.7,31.5,25.1,35.4,3.8,4.1
44,205,QN08,53797.0,54.7,7.0,1.0,88.1,1.7,2.2
45,204,SI32,21050.0,52.1,7.8,86.4,0.4,4.8,0.7
46,203,QN05,26989.0,56.1,7.0,5.4,82.9,3.5,1.3
47,200,BX22,27264.0,54.3,19.7,64.4,6.6,8.0,1.4
48,199,BX98,,,,,,,
49,198,QN20,70234.0,50.5,48.5,40.4,2.0,7.8,1.3
50,197,QN54,64049.0,51.0,35.0,11.1,8.5,30.8,14.5
51,196,QN18,26490.0,53.5,18.0,45.7,1.9,31.1,3.3
52,195,BK33,40307.0,52.5,20.9,60.3,10.3,5.5,3.0
53,193,QN68,18393.0,52.7,39.1,16.6,23.7,17.6,2.9
54,192,QN62,21727.0,51.1,17.9,15.3,1.8,62.2,2.8
55,191,QN34,56705.0,52.4,17.6,6.2,49.3,17.0,10.0
56,189,BK64,20228.0,51.0,10.5,51.1,26.5,7.8,4.0
57,188,BK60,69695.0,55.6,9.6,11.7,74.2,2.2,2.3
58,186,MN17,28305.0,52.0,7.7,63.9,4.0,21.6,2.9
59,185,BX49,29911.0,53.5,38.5,37.0,11.9,11.3,1.3
60,182,BX46,29368.0,52.8,35.4,2.5,47.1,12.7,2.3
61,181,BK37,74526.0,51.9,18.5,65.1,5.2,6.7,4.6
62,180,QN56,22856.0,51.0,39.7,25.5,6.1,23.7,5.1
63,179,QN71,29149.0,50.3,34.6,35.5,10.8,16.5,2.5
64,178,BK46,20143.0,51.0,8.6,85.5,0.3,4.1,1.4
65,177,BK79,32427.0,55.6,16.9,2.2,78.2,1.7,1.1
66,176,SI25,21575.0,54.3,12.6,80.2,3.0,2.7,1.4
67,175,QN42,28103.0,51.6,7.6,40.9,1.9,46.0,3.6
68,174,BX43,41804.0,53.6,57.6,11.2,17.4,11.4,2.3
69,173,QN26,53290.0,44.3,86.9,1.0,4.2,7.2,0.7
70,172,SI45,20461.0,51.0,11.8,79.3,1.2,7.3,0.4
71,171,QN51,51994.0,52.3,14.0,26.5,1.7,55.7,2.0
72,169,BX41,52999.0,52.4,69.3,1.6,26.3,1.2,1.6
73,167,BX35,39894.0,53.7,61.0,1.3,35.5,0.5,1.7
74,166,MN09,55450.0,55.1,22.1,47.7,11.5,15.2,3.5
75,165,BK43,52519.0,51.2,7.5,76.1,4.4,10.6,1.4
76,164,MN17,28305.0,52.0,7.7,63.9,4.0,21.6,2.9
77,163,MN17,28305.0,52.0,7.7,63.9,4.0,21.6,2.9
78,161,MN17,28305.0,52.0,7.7,63.9,4.0,21.6,2.9
79,160,QN21,38169.0,52.2,17.0,74.1,0.7,7.4,0.7
80,159,BX34,40426.0,56.1,64.5,2.0,31.5,0.6,1.4
81,158,MN23,67521.0,50.3,5.9,80.6,2.0,8.5,3.1
82,157,QN30,26608.0,51.4,28.2,57.5,1.0,12.2,1.1
83,155,BK45,48103.0,51.6,9.1,70.2,12.3,6.7,1.7
84,152,MN06,23155.0,52.5,56.7,9.7,28.0,3.1,2.5
85,151,MN12,136740.0,54.8,16.2,65.7,8.1,7.3,2.7
86,150,BK17,63459.0,53.6,7.1,69.7,6.8,15.4,1.0
87,149,BK44,40609.0,50.9,7.8,67.5,1.0,22.5,1.2
88,148,MN27,45091.0,48.4,13.6,16.7,4.1,61.8,3.8
89,147,BX33,27438.0,52.0,74.5,1.3,22.6,1.0,0.6
90,146,QN68,18393.0,52.7,39.1,16.6,23.7,17.6,2.9
91,145,QN31,63936.0,50.5,33.1,37.6,2.1,25.0,2.2
92,144,MN24,42082.0,50.1,6.3,65.9,2.2,21.0,4.7
93,143,MN14,59654.0,51.5,9.5,74.8,2.4,10.7,2.4
94,142,MN14,59654.0,51.5,9.5,74.8,2.4,10.7,2.4
95,139,QN66,26847.0,55.9,4.4,1.2,90.6,1.1,2.7
96,136,BX30,30088.0,53.9,71.9,2.6,19.1,5.1,1.4
97,135,QN37,38081.0,52.2,12.3,52.1,7.2,24.3,4.0
98,134,QN60,23145.0,51.0,25.1,47.5,6.9,17.9,2.7
99,133,BK41,37013.0,50.5,16.2,49.8,6.9,23.3,3.7
100,131,QN06,25818.0,55.3,16.2,22.8,25.2,30.7,5.2
101,130,QN61,54198.0,50.7,36.9,3.8,18.6,30.2,10.6
102,129,QN28,105083.0,49.8,55.3,16.1,1.8,24.0,2.8
103,126,BX27,26780.0,51.9,74.0,1.0,23.3,0.4,1.3
104,125,MN24,42082.0,50.1,6.3,65.9,2.2,21.0,4.7
105,123,BK25,43565.0,51.7,7.3,78.7,0.9,11.2,1.9
106,122,QN07,21294.0,54.0,10.5,2.5,63.9,15.7,7.5
107,121,QN38,33925.0,53.7,21.8,34.8,10.6,30.5,2.3
108,119,BX26,38793.0,52.7,65.0,1.5,32.5,0.4,0.6
109,118,SI24,31472.0,52.8,10.8,71.7,1.8,14.7,0.9
110,117,QN12,36226.0,53.6,25.1,17.6,49.7,4.1,3.5
111,116,MN04,51644.0,51.8,48.0,14.2,31.8,2.1,3.9
112,115,SI08,22484.0,55.9,28.8,27.7,29.4,10.8,3.2
113,114,MN23,67521.0,50.3,5.9,80.6,2.0,8.5,3.1
114,113,MN23,67521.0,50.3,5.9,80.6,2.0,8.5,3.1
115,110,SI99,,,,,,,
116,109,SI54,44078.0,50.9,9.8,84.0,0.3,5.1,0.8
117,108,BK26,28944.0,55.0,13.9,52.5,9.1,22.9,1.6
118,107,MN21,27396.0,55.6,7.0,73.0,4.0,12.8,3.2
119,106,BK37,74526.0,51.9,18.5,65.1,5.2,6.7,4.6
120,102,QN19,32778.0,50.5,35.9,57.4,0.9,4.7,1.1
121,101,QN44,22327.0,54.6,8.1,49.1,4.3,34.6,3.8
122,100,MN17,28305.0,52.0,7.7,63.9,4.0,21.6,2.9
123,99,SI05,39594.0,52.6,12.8,63.9,5.6,16.4,1.3
124,98,QN41,18074.0,51.5,13.2,31.9,3.6,48.5,2.7
125,97,BK68,28721.0,54.3,21.5,28.2,37.8,8.8,3.6
126,95,QN17,85251.0,53.0,14.0,56.2,2.7,25.0,2.2
127,94,BX40,26690.0,55.2,70.8,1.5,26.1,0.8,0.7
128,92,QN22,70193.0,53.3,15.1,8.9,3.8,68.8,3.5
129,91,BK58,72864.0,53.6,7.9,16.5,70.3,3.7,1.6
130,90,MN13,76034.0,49.0,14.0,63.1,6.1,13.1,3.6
131,89,BK42,106012.0,54.6,17.7,22.2,47.5,9.8,2.8
132,86,QN15,52266.0,53.3,27.8,25.2,42.0,3.0,2.1
133,85,BK95,28357.0,54.9,11.0,1.4,84.2,1.6,1.8
134,84,SI01,28853.0,49.5,6.3,89.5,0.5,3.0,0.7
135,83,QN50,26340.0,50.4,28.4,14.9,0.8,54.7,1.4
136,82,QN29,87373.0,48.0,44.3,6.3,1.4,45.9,2.1
137,81,BX03,35367.0,56.0,24.2,3.6,68.8,1.8,1.7
138,80,BK90,34105.0,52.3,31.9,44.9,9.2,12.3,1.6
139,79,MN22,43402.0,50.4,10.8,67.4,4.8,14.3,2.7
140,78,BX17,43878.0,53.4,69.5,1.6,26.9,1.0,1.0
141,77,BK85,30594.0,55.2,28.1,1.7,69.1,0.7,0.5
142,76,BK82,91139.0,55.5,27.0,1.8,67.8,2.1,1.4
143,75,MN33,58618.0,52.9,42.8,19.5,24.9,10.5,2.4
144,73,QN52,27012.0,50.3,16.0,17.7,1.1,62.5,2.7
145,72,BK96,55669.0,55.9,5.6,1.3,90.6,0.9,1.6
146,71,BK91,51723.0,56.3,5.8,1.8,89.1,1.5,1.7
147,70,QN27,22716.0,47.4,62.4,4.9,24.4,6.9,1.4
148,69,BX14,64821.0,53.0,61.3,1.4,34.2,1.3,1.8
149,68,MN13,76034.0,49.0,14.0,63.1,6.1,13.1,3.6
150,67,BK30,46700.0,50.0,10.2,49.0,0.6,39.3,1.0
151,66,BK38,39383.0,51.4,21.5,44.2,21.2,10.3,2.9
152,65,BK38,39383.0,51.4,21.5,44.2,21.2,10.3,2.9
153,63,BK83,47199.0,52.2,60.4,5.0,25.9,6.4,2.4
154,62,BK63,41128.0,52.8,8.2,26.4,62.5,1.2,1.5
155,61,BK61,103735.0,55.3,12.1,12.8,69.9,2.7,2.4
156,60,BX75,20756.0,54.6,67.3,1.0,30.0,0.7,1.0
157,55,BK21,29229.0,53.1,24.9,32.0,29.8,11.6,1.8
158,52,BK33,40307.0,52.5,20.9,60.3,10.3,5.5,3.0
159,51,BX13,47442.0,55.4,30.2,8.0,58.9,0.7,2.2
160,50,MN15,41972.0,46.1,20.7,58.2,5.2,13.2,2.7
161,49,BK69,37795.0,52.5,13.8,38.4,37.8,5.7,4.2
162,48,MN15,41972.0,46.1,20.7,58.2,5.2,13.2,2.7
163,47,BX01,33205.0,56.3,55.4,1.0,42.4,0.0,1.2
164,45,MN27,45091.0,48.4,13.6,16.7,4.1,61.8,3.8
165,44,SI11,24574.0,49.1,12.4,80.7,1.8,4.0,1.0
166,42,MN03,81355.0,53.9,23.8,7.9,62.3,2.9,3.0
167,41,MN11,48596.0,54.4,19.7,18.7,54.9,4.2,2.6
168,40,BK33,40307.0,52.5,20.9,60.3,10.3,5.5,3.0
169,38,QN33,19688.0,54.8,3.9,1.6,91.1,1.3,2.0
170,37,BK78,75202.0,52.2,59.0,11.6,25.0,3.0,1.4
171,36,BK77,63458.0,49.6,71.7,12.1,9.5,6.0,0.8
172,35,BK81,61161.0,59.2,18.7,0.9,78.2,0.9,1.2
173,33,BK09,23532.0,51.0,8.9,73.4,5.7,7.8,4.2
174,32,BX07,35587.0,50.2,51.3,11.9,30.4,4.6,2.0
175,29,BK19,33146.0,53.1,12.4,68.7,1.3,15.2,2.3
176,28,QN35,40027.0,51.2,25.8,19.4,10.8,38.6,5.6
177,26,BK88,109422.0,49.0,10.3,75.6,0.6,12.9,0.6
178,25,BK38,39383.0,51.4,21.5,44.2,21.2,10.3,2.9
179,24,MN09,55450.0,55.1,22.1,47.7,11.5,15.2,3.5
180,23,SI05,39594.0,52.6,12.8,63.9,5.6,16.4,1.3
181,22,BK28,90834.0,51.3,15.1,44.9,0.7,38.1,1.2
182,21,BK29,61820.0,50.9,10.9,49.0,0.7,37.7,1.7
183,20,BX06,27395.0,54.0,60.3,21.1,15.1,1.7,1.8
184,19,QN43,26609.0,51.5,19.8,30.6,5.7,39.8,4.1
185,18,BX05,53362.0,51.5,71.7,7.0,15.7,4.2,1.4
186,17,BK75,71706.0,51.7,19.3,30.6,45.4,2.7,2.0
187,16,QN46,46667.0,52.0,14.9,41.5,1.7,38.6,3.2
188,15,QN47,22060.0,52.8,8.5,67.7,0.4,20.9,2.5
189,14,BK31,84439.0,52.4,16.8,64.3,1.7,14.5,2.7
190,11,BK27,32002.0,49.1,15.2,47.2,1.2,35.2,1.2
191,10,QN76,37155.0,53.8,13.1,0.9,72.7,5.0,8.3
192,9,QN48,20999.0,52.0,10.8,41.9,1.0,44.1,2.1
193,7,QN70,77095.0,50.0,27.5,51.4,4.6,14.0,2.5
194,6,SI14,15394.0,54.4,13.9,65.4,5.9,13.2,1.6
195,5,SI48,25602.0,50.5,11.9,79.6,1.4,6.3,0.9
196,3,BX31,33848.0,52.3,31.4,26.0,31.3,8.5,2.8
